Categorii de vehicule rutiere, Tipuri de proprietate, Judet, Ani, Valoare, lat, lng
Autoturisme,  Total,  Giurgiu,  Anul 2018,  64117, 43.8958613, 25.9658299
Autoturisme,  Total,  Ialomita,  Anul 2018,  61239, 44.5975731, 27.2030762
Autoturisme,  Total,  Prahova,  Anul 2018,  231162, 45.1087546, 26.037623
Autoturisme,  Total,  Teleorman,  Anul 2018,  74302, 44.0681291, 25.1865318
Autoturisme,  Total,  Ilfov,  Anul 2018,  151481, 44.5017074, 26.2449077
Autoturisme,  Total,  Bucuresti,  Anul 2018,  1107190, 44.4361414, 26.1027202
Autoturisme,  Total,  Dolj,  Anul 2018,  198849, 44.2141283, 23.6692349
Autoturisme,  Total,  Gorj,  Anul 2018,  104543, 44.9611674, 23.3256799
Autoturisme,  Total,  Mehedinti,  Anul 2018,  74719, 44.6233969, 22.6477948
Autoturisme,  Total,  Olt,  Anul 2018,  104539, 44.291402, 24.4661079
Autoturisme,  Total,  Valcea,  Anul 2018,  106397, 45.0404536, 24.1538719
Autoturisme,  Total,  Arad,  Anul 2018,  150573, 46.1753793, 21.3196342
Autoturisme,  Total,  Caras-Severin,  Anul 2018,  87079, 45.1268996, 22.0767794
Autoturisme,  Total,  Hunedoara,  Anul 2018,  134482, 45.7958547, 22.9444838
Autoturisme,  Total,  Timis,  Anul 2018,  257801, 45.6890988, 21.6304672
Motociclete,  Total,  Bihor,  Anul 2018,  3927, 46.992055, 22.1902742
Motociclete,  Total,  Bistrita-Nasaud,  Anul 2018,  1307, 47.179566, 24.5072489
Motociclete,  Total,  Cluj,  Anul 2018,  6401, 46.769379, 23.5899542
Motociclete,  Total,  Maramures,  Anul 2018,  2729, 47.672161, 24.1954737
Motociclete,  Total,  Satu Mare,  Anul 2018,  2552, 47.7891763, 22.8725598
Motociclete,  Total,  Salaj,  Anul 2018,  1254, 47.1562143, 23.0168599
Motociclete,  Total,  Alba,  Anul 2018,  2497, 46.0159212, 23.5468552
Motociclete,  Total,  Brasov,  Anul 2018,  7345, 45.6523093, 25.6102746
Motociclete,  Total,  Covasna,  Anul 2018,  2034, 45.8966792, 26.0101806
Motociclete,  Total,  Harghita,  Anul 2018,  3535, 46.6440949, 25.6200809
Motociclete,  Total,  Mures,  Anul 2018,  5144, 46.6064581, 24.6251926
Motociclete,  Total,  Sibiu,  Anul 2018,  3667, 45.7973912, 24.1519202
Motociclete,  Total,  Bacau,  Anul 2018,  2525, 46.4261342, 26.712054
Motociclete,  Total,  Botosani,  Anul 2018,  1010, 47.852341, 26.7595119
Motociclete,  Total,  Iasi,  Anul 2018,  2585, 47.1615341, 27.5836142
Motociclete,  Total,  Neamt,  Anul 2018,  2146, 46.9907829, 26.4853496
Motociclete,  Total,  Suceava,  Anul 2018,  2655, 47.5325167, 25.8188014
Motociclete,  Total,  Vaslui,  Anul 2018,  980, 46.496847, 27.803321
Motociclete,  Total,  Braila,  Anul 2018,  1098, 45.2716092, 27.9742932
Motociclete,  Total,  Buzau,  Anul 2018,  1520, 45.2692581, 26.7748173
Motociclete,  Total,  Constanta,  Anul 2018,  3956, 44.1767161, 28.6507598
Motociclete,  Total,  Galati,  Anul 2018,  2183, 45.4338215, 28.0549395
Motociclete,  Total,  Tulcea,  Anul 2018,  944, 45.177518, 28.8016348
Motociclete,  Total,  Vrancea,  Anul 2018,  1475, 45.7887088, 26.883803
Motociclete,  Total,  Arges,  Anul 2018,  3092, 44.9949935, 24.8486324
Motociclete,  Total,  Calarasi,  Anul 2018,  824, 44.3159159, 27.1397574
Motociclete,  Total,  Dambovita,  Anul 2018,  1910, 44.9267727, 25.4831821
Motociclete,  Total,  Giurgiu,  Anul 2018,  1190, 43.8958613, 25.9658299
Motociclete,  Total,  Ialomita,  Anul 2018,  699, 44.5975731, 27.2030762
Motociclete,  Total,  Prahova,  Anul 2018,  4667, 45.1087546, 26.037623
Motociclete,  Total,  Teleorman,  Anul 2018,  834, 44.0681291, 25.1865318
Motociclete,  Total,  Ilfov,  Anul 2018,  2983, 44.5017074, 26.2449077
Motociclete,  Total,  Bucuresti,  Anul 2018,  24305, 44.4361414, 26.1027202
Motociclete,  Total,  Dolj,  Anul 2018,  2095, 44.2141283, 23.6692349
Motociclete,  Total,  Gorj,  Anul 2018,  1384, 44.9611674, 23.3256799
Motociclete,  Total,  Mehedinti,  Anul 2018,  1103, 44.6233969, 22.6477948
Motociclete,  Total,  Olt,  Anul 2018,  1033, 44.291402, 24.4661079
Motociclete,  Total,  Valcea,  Anul 2018,  1758, 45.0404536, 24.1538719
Motociclete,  Total,  Arad,  Anul 2018,  3743, 46.1753793, 21.3196342
Motociclete,  Total,  Caras-Severin,  Anul 2018,  2228, 45.1268996, 22.0767794
Motociclete,  Total,  Hunedoara,  Anul 2018,  2913, 45.7958547, 22.9444838
Motociclete,  Total,  Timis,  Anul 2018,  7427, 45.6890988, 21.6304672
Autovehicule pentru transportul marfurilor,  Total,  Bihor,  Anul 2018,  33662, 46.992055, 22.1902742
Autovehicule pentru transportul marfurilor,  Total,  Bistrita-Nasaud,  Anul 2018,  16465, 47.179566, 24.5072489
Autovehicule pentru transportul marfurilor,  Total,  Cluj,  Anul 2018,  41703, 46.769379, 23.5899542
Autovehicule pentru transportul marfurilor,  Total,  Maramures,  Anul 2018,  25760, 47.672161, 24.1954737
Autovehicule pentru transportul marfurilor,  Total,  Satu Mare,  Anul 2018,  18060, 47.7891763, 22.8725598
Autovehicule pentru transportul marfurilor,  Total,  Salaj,  Anul 2018,  11329, 47.1562143, 23.0168599
Autovehicule pentru transportul marfurilor,  Total,  Alba,  Anul 2018,  19992, 46.0159212, 23.5468552
Autovehicule pentru transportul marfurilor,  Total,  Brasov,  Anul 2018,  26595, 45.6523093, 25.6102746
Autovehicule pentru transportul marfurilor,  Total,  Covasna,  Anul 2018,  11154, 45.8966792, 26.0101806
Autovehicule pentru transportul marfurilor,  Total,  Harghita,  Anul 2018,  14700, 46.6440949, 25.6200809
Autovehicule pentru transportul marfurilor,  Total,  Mures,  Anul 2018,  23789, 46.6064581, 24.6251926
Autovehicule pentru transportul marfurilor,  Total,  Sibiu,  Anul 2018,  20023, 45.7973912, 24.1519202
Autovehicule pentru transportul marfurilor,  Total,  Bacau,  Anul 2018,  24970, 46.4261342, 26.712054
Autovehicule pentru transportul marfurilor,  Total,  Botosani,  Anul 2018,  11008, 47.852341, 26.7595119
Autovehicule pentru transportul marfurilor,  Total,  Iasi,  Anul 2018,  26783, 47.1615341, 27.5836142
Autovehicule pentru transportul marfurilor,  Total,  Neamt,  Anul 2018,  20780, 46.9907829, 26.4853496
Autovehicule pentru transportul marfurilor,  Total,  Suceava,  Anul 2018,  36864, 47.5325167, 25.8188014
Autovehicule pentru transportul marfurilor,  Total,  Vaslui,  Anul 2018,  12836, 46.496847, 27.803321
Autovehicule pentru transportul marfurilor,  Total,  Braila,  Anul 2018,  11627, 45.2716092, 27.9742932
Autovehicule pentru transportul marfurilor,  Total,  Buzau,  Anul 2018,  22417, 45.2692581, 26.7748173
Autovehicule pentru transportul marfurilor,  Total,  Constanta,  Anul 2018,  31278, 44.1767161, 28.6507598
Autovehicule pentru transportul marfurilor,  Total,  Galati,  Anul 2018,  23440, 45.4338215, 28.0549395
Autovehicule pentru transportul marfurilor,  Total,  Tulcea,  Anul 2018,  9751, 45.177518, 28.8016348
Autovehicule pentru transportul marfurilor,  Total,  Vrancea,  Anul 2018,  19223, 45.7887088, 26.883803
Autovehicule pentru transportul marfurilor,  Total,  Arges,  Anul 2018,  37870, 44.9949935, 24.8486324
Autovehicule pentru transportul marfurilor,  Total,  Calarasi,  Anul 2018,  9611, 44.3159159, 27.1397574
Autovehicule pentru transportul marfurilor,  Total,  Dambovita,  Anul 2018,  20997, 44.9267727, 25.4831821
Autovehicule pentru transportul marfurilor,  Total,  Giurgiu,  Anul 2018,  10913, 43.8958613, 25.9658299
Autovehicule pentru transportul marfurilor,  Total,  Ialomita,  Anul 2018,  10300, 44.5975731, 27.2030762
Autovehicule pentru transportul marfurilor,  Total,  Prahova,  Anul 2018,  32010, 45.1087546, 26.037623
Autovehicule pentru transportul marfurilor,  Total,  Teleorman,  Anul 2018,  12249, 44.0681291, 25.1865318
Autovehicule pentru transportul marfurilor,  Total,  Ilfov,  Anul 2018,  27467, 44.5017074, 26.2449077
Autovehicule pentru transportul marfurilor,  Total,  Bucuresti,  Anul 2018,  179662, 44.4361414, 26.1027202
Autovehicule pentru transportul marfurilor,  Total,  Dolj,  Anul 2018,  29902, 44.2141283, 23.6692349
Autovehicule pentru transportul marfurilor,  Total,  Gorj,  Anul 2018,  16558, 44.9611674, 23.3256799
Autovehicule pentru transportul marfurilor,  Total,  Mehedinti,  Anul 2018,  9767, 44.6233969, 22.6477948
Autovehicule pentru transportul marfurilor,  Total,  Olt,  Anul 2018,  16205, 44.291402, 24.4661079
Autovehicule pentru transportul marfurilor,  Total,  Valcea,  Anul 2018,  17479, 45.0404536, 24.1538719
Autovehicule pentru transportul marfurilor,  Total,  Arad,  Anul 2018,  24984, 46.1753793, 21.3196342
Autovehicule pentru transportul marfurilor,  Total,  Caras-Severin,  Anul 2018,  10659, 45.1268996, 22.0767794
Autovehicule pentru transportul marfurilor,  Total,  Hunedoara,  Anul 2018,  17841, 45.7958547, 22.9444838
Autovehicule pentru transportul marfurilor,  Total,  Timis,  Anul 2018,  35641, 45.6890988, 21.6304672
