Categorii de vehicule rutiere,Tipuri de proprietate,Judet,Ani,Valoare
Motociclete, Total, Ilfov, Anul 2018, 2983
Motociclete, Total, Bucuresti, Anul 2018, 24305
Motociclete, Total, Dolj, Anul 2018, 2095
Motociclete, Total, Gorj, Anul 2018, 1384
Motociclete, Total, Mehedinti, Anul 2018, 1103
Motociclete, Total, Olt, Anul 2018, 1033
Motociclete, Total, Valcea, Anul 2018, 1758
Motociclete, Total, Arad, Anul 2018, 3743
Motociclete, Total, Caras-Severin, Anul 2018, 2228
Motociclete, Total, Hunedoara, Anul 2018, 2913
Motociclete, Total, Timis, Anul 2018, 7427
Autovehicule pentru transportul marfurilor, Total, Bihor, Anul 2018, 33662
Autovehicule pentru transportul marfurilor, Total, Bistrita-Nasaud, Anul 2018, 16465
Autovehicule pentru transportul marfurilor, Total, Cluj, Anul 2018, 41703
Autovehicule pentru transportul marfurilor, Total, Maramures, Anul 2018, 25760
Autovehicule pentru transportul marfurilor, Total, Satu Mare, Anul 2018, 18060
Autovehicule pentru transportul marfurilor, Total, Salaj, Anul 2018, 11329
Autovehicule pentru transportul marfurilor, Total, Alba, Anul 2018, 19992
Autovehicule pentru transportul marfurilor, Total, Brasov, Anul 2018, 26595
Autovehicule pentru transportul marfurilor, Total, Covasna, Anul 2018, 11154
Autovehicule pentru transportul marfurilor, Total, Harghita, Anul 2018, 14700
Autovehicule pentru transportul marfurilor, Total, Mures, Anul 2018, 23789
Autovehicule pentru transportul marfurilor, Total, Sibiu, Anul 2018, 20023
Autovehicule pentru transportul marfurilor, Total, Bacau, Anul 2018, 24970
Autovehicule pentru transportul marfurilor, Total, Botosani, Anul 2018, 11008
Autovehicule pentru transportul marfurilor, Total, Iasi, Anul 2018, 26783
Autovehicule pentru transportul marfurilor, Total, Neamt, Anul 2018, 20780
Autovehicule pentru transportul marfurilor, Total, Suceava, Anul 2018, 36864
Autovehicule pentru transportul marfurilor, Total, Vaslui, Anul 2018, 12836
Autovehicule pentru transportul marfurilor, Total, Braila, Anul 2018, 11627
Autovehicule pentru transportul marfurilor, Total, Buzau, Anul 2018, 22417
Autovehicule pentru transportul marfurilor, Total, Constanta, Anul 2018, 31278
Autovehicule pentru transportul marfurilor, Total, Galati, Anul 2018, 23440
Autovehicule pentru transportul marfurilor, Total, Tulcea, Anul 2018, 9751
Autovehicule pentru transportul marfurilor, Total, Vrancea, Anul 2018, 19223
Autovehicule pentru transportul marfurilor, Total, Arges, Anul 2018, 37870
Autovehicule pentru transportul marfurilor, Total, Calarasi, Anul 2018, 9611
Autovehicule pentru transportul marfurilor, Total, Dambovita, Anul 2018, 20997
Autovehicule pentru transportul marfurilor, Total, Giurgiu, Anul 2018, 10913
Autovehicule pentru transportul marfurilor, Total, Ialomita, Anul 2018, 10300
Autovehicule pentru transportul marfurilor, Total, Prahova, Anul 2018, 32010
Autovehicule pentru transportul marfurilor, Total, Teleorman, Anul 2018, 12249
Autovehicule pentru transportul marfurilor, Total, Ilfov, Anul 2018, 27467
Autovehicule pentru transportul marfurilor, Total, Bucuresti, Anul 2018, 179662
Autovehicule pentru transportul marfurilor, Total, Dolj, Anul 2018, 29902
Autovehicule pentru transportul marfurilor, Total, Gorj, Anul 2018, 16558
Autovehicule pentru transportul marfurilor, Total, Mehedinti, Anul 2018, 9767
Autovehicule pentru transportul marfurilor, Total, Olt, Anul 2018, 16205
Autovehicule pentru transportul marfurilor, Total, Valcea, Anul 2018, 17479
Autovehicule pentru transportul marfurilor, Total, Arad, Anul 2018, 24984
Autovehicule pentru transportul marfurilor, Total, Caras-Severin, Anul 2018, 10659
Autovehicule pentru transportul marfurilor, Total, Hunedoara, Anul 2018, 17841
Autovehicule pentru transportul marfurilor, Total, Timis, Anul 2018, 35641
